ID,名人姓名,名人国籍,性别,发表地区,发表形式,事发日期,道歉时间,道歉原因,道歉原因归类,主要道歉对象,道歉对象所在地区,道歉人职业领域,发布平台,,全文 繁体,全文 简体,链接,,,,,
100,高晓松,中国大陆,男,中国大陆,文字,5/9/2011,5/10/2011,酒驾,,,,,媒体声明,,對不起！永不酒駕！,对不起！永不酒驾！,https://www.cnr.cn/2011tfzt/gaoxiaosong/onenight/201105/t20110512_507987945_1.html,,,,,
101,张默,中国大陆,男,中国大陆,文字,1/30/2012,2/14/2012,涉嫌聚众吸毒,,,,演员,媒体声明,,給大家道歉，我錯了。對於自己的錯誤行為，我非常悔恨，也沒有任何藉口為自己的錯誤開脫。我對不起家人，對不起各位長輩。對不起公司同仁。對不起喜歡和支持我的朋友。感謝看守所的幹警對我的幫助。懇請大家原諒我所犯的錯誤，給我一次改過的機會。對不起，真的對不起！,给大家道歉，我错了。对于自己的错误行为，我非常悔恨，也没有任何借口为自己的错误开脱。我对不起家人，对不起各位长辈。对不起公司同仁。对不起喜欢和支持我的朋友们。感谢看守所的干警对我的帮助。恳请大家原谅我所犯的错误，给我一次改过的机会。对不起，真的对不起！,https://news.sohu.com/20120214/n334615766.shtml,,,,,
102,高晓松,中国大陆,男,中国大陆,文字,4/12/2013,4/21/2013,称蒙古人没文化,,,,,微博,,第一季說漢人對傳統音樂沒有熱情，讚揚蒙古民族能歌善舞時，也被漢族同胞罵是漢姦、數典忘祖。建議在我這罵了3天的蒙古同胞把火力對準歌頌抗蒙抗元英雄的作品，那裡竟然寫蒙古人屠殺姦淫奴役漢人！不過我相信草原民族遼闊的胸懷，不像我們漢人(心胸)狹隘。,我在第一季说汉人对传统音乐没有热情，赞扬蒙古民族能歌善舞时，也被汉族同胞骂是汉奸、数典忘祖。建议在我这骂了3天的蒙古同胞把火力对准歌颂抗蒙抗元英雄的作品，那里竟然写蒙古人屠杀奸淫奴役汉人！不过我相信草原民族辽阔的胸怀，不像我们汉人(心胸)狭隘。,https://www.chinanews.com.cn/yl/2013/04-23/4755911.shtml,,,,,
103,高晓松,中国大陆,男,中国大陆,文字,4/12/2013,4/22/2013,称蒙古人没文化,,,,,微博,,誠懇道歉，看了很多評論體認到蒙元文化源遠流長博大精深，當初建北京起的那些地名只是不符合漢族士大夫琴棋書畫趣味而已，本身就是一種文化。感謝許多蒙古族同胞在評論裡的教育（罵也理解），懇請不要在下面對罵，都是有過傷痛的民族，大家一起向前看。本想戲說故鄉北京的地名，沒想到，對不起。,诚恳道歉，看了很多评论认识到蒙元文化源远流长博大精深，当初建北京起的那些地名只是不符合汉族士大夫琴棋书画趣味而已，本身就是一种文化。感谢很多蒙古族同胞在评论里的教育（骂也理解），恳请不要在下面对骂，都是有过伤痛的民族，大家一起向前看。本想戏说故乡北京的地名，没想到，对不起。,https://ent.sina.cn/star/tv/2013-04-24/detail-icesifvx3809767.d.html,,,,,
104,张艺谋,中国大陆,男,中国大陆,文字,3/11/2012,12/29/2013,超生,,,,导演,媒体采访,,其實我自己常常也反省，我作為一個電影導演，其實，辛辛苦苦用作品，在社會上，為自己建立的信譽和影響是很艱難的，要很多很多的好作品留給大家，大家才認可。我辛苦所建立起來的，大家對我的信任和期待，（由於）超生這件事情，對我造成極大的傷害和傷害。我自己是很誠懇的，為超生這件事情，向所有人道歉。我做錯了就是做錯了，我不會怪別人，我會學到教訓。我現在願意全面配合無錫計生委的調查，盡快讓這件事有個結果。,其实我自己常常也反省，我作为一个电影导演，其实，辛辛苦苦用作品，在社会上，为自己建立的信誉和影响是很艰难的，要很多很多的好作品留给大家，大家才认可。我辛辛苦苦所建立起来的，大家对我的信任和期待，（由于）超生这件事情，对我造成极大的损害和损伤。我自己是很诚恳的，为超生这件事情，向所有人道歉。我做错了就是做错了，我不会怪别人，我汲取教训。我现在愿意全面配合无锡计生委的调查，尽快地使这个事情有一个结果。,https://www.bbc.com/zhongwen/simp/china/2013/12/131229_china_one_child_zhang_yimou,,,,,
105,黄海波,中国大陆,男,中国大陆,文字,5/15/2014,12/1/2014,嫖娼,,,,演员,微博,,各位好。事發至今，恍若隔世。關於我的事情終於可以親自向大家有所交代。真誠地向全社會說一句：對不起！身為一個公眾人物，我做了錯誤的示範，愧對於觀眾朋友們的喜愛支持，也給了合作夥伴們重大損失和許多困擾。事已至此，所有對我的懲罰，我全盤接受。未來，我將會花很長一段時間來反思和沈澱自己，並用實際行動回饋社會。,各位好。事发至今，恍若隔世。关于我的事情终于可以亲自向大家有所交代。真诚地向全社会说一句：对不起！身为一个公众人物，我做出了错误的示范，愧对于观众朋友们的喜爱支持，也给合作伙伴们带来了重大损失和诸多困扰。事已至此，所有对我的惩罚，我全盘接受。未来，我将会用很长一段时间来反思和沉淀自己，并用实际行动回馈社会。,https://www.thepaper.cn/newsDetail_forward_1282188,,,,,
106,陈赫,中国大陆,男,中国大陆,文字,1/21/2015,1/22/2015,离婚,,,,演员,微博,,"我錯了！
求大家放過我們，狂風暴雨的三天，我從來沒有經歷過的瘋狂和崩潰。
對不起，對不起我向所有人隱瞞了我離婚的事。
我和許婧簽離婚協議已經快半年了。我們是和平分手的，沒有其他事情。
14年的感情不容易，真的不容易。很美好，很珍貴，很重要。但這世界上沒有任何一件事是可以那麼完美。我們互相都很努力去讓這個家更好，可是因為我們生活的圈子越來越遠，我的工作無法抗拒的越來越忙。很多事真的就讓你無法去維護。
我去年一整年最多也休息了十天。很多工作是無法拒絕的，太多的人情世故。最多的時候卡著3部戲。別說回家，我連看她一眼都很難。這對她來說是不公平的。我們之間連最起碼的溝通都很少了。這些都是我的錯。
其實我不該說這些，家家有本難念的經，我相信所有戀愛過的人你們一定都會懂。每段感情都不可能是完美的，一定是要兩個人的付出和犧牲。但如果堅持不下去，累了，再堅持下去變成一種痛苦和煎熬，還要繼續嗎？一定要繼續嗎？
有的時候放手不一定是最壞的選擇。這個決定很艱難，真的很難熬。真的真的很痛苦。我們已經鼓了很大的勇氣把我們的人生繼續走下去。真的已經筋疲力盡，真的真的就想像一個普通人一樣去活著。我真的好奢望！ ！求大家不要再說了！求大家不要去打擾她，給她一個私人空間，她不是這個圈子的人。
我們分手不是因為別的任何原因，都是我沒有維護好這個家！是我的錯！
求你們！我沒有任何的野心！我也不想威脅到任何人，一檔節目一部電影把我推到這個地步，也是我萬萬沒想到的。我從一開始演戲就想好好地演喜劇，帶給大家快樂，讓大家開心快樂！我真的就是個普通人！ ！
我只是離了婚，沒有做傷天害理的事情，這麼多的假消息鋪天蓋地，像一張網像一座山壓著我。這三天，我承認是我人生最黑暗的，最恐怖的三天。我真的扛不住了！ ！對不起！求你們給我一點點的空間！一點點的隱私！
我尊重所有人，也請你們給我最後一點點的尊重！我父母也快崩潰了，因為這幾天的壓力身體嚴重衰弱，我真的快要崩潰了。如果大家不能接受，我可以做完我現在接的工作之後，不再演戲。我真的就是個普通人，只想簡單的生活。求你們了。
給我一點隱私和空間吧！我的婚姻已經沒有了，不要再毀掉我的父母……求你們不要再議論了。求你們。","我错了！
求大家放过我们，狂风暴雨的三天，我从来没有经历过的疯狂和崩溃。
对不起，对不起我向所有人隐瞒了我离婚的事。
我和许婧签署离婚协议已经快半年了。我们是和平分手的，没有任何其他事情。
14年的感情不容易，真的不容易。很美好，很珍贵，很重要。但这个世界上没有任何一件事是可以那么完美。我们互相都很努力去让这个家更好，可是因为我们生活的圈子越来越远，我的工作无法抗拒的越来越忙。很多事真的就让你无法去维护。
我去年一整年最多也就休息了十天。很多工作是无法拒绝的，太多的人情世故。最多的时候卡着3部戏。别说回家，我就连看她一眼都很难。这对她是不公平的。我们之间连最起码的沟通都很少了。这些都是我的错。
其实我不应该说这些，家家有本难念的经，我相信所有恋爱过的人你们一定都会懂。每段感情都不可能是完美的，一定是要两个人的付出和牺牲。但如果坚持不下去，累了，再坚持下去变成一种痛苦和煎熬，还要继续吗？一定要继续吗？
有的时候放手不一定是最坏的选择。这个决定很艰难，真的很艰难。真的真的很痛苦。我们已经鼓了很大的勇气把我们的人生继续走下去。真的已经筋疲力尽，真的真的就想像一个普通人一样去活着。我真的好奢望！ ！求大家不要再说了！求大家不要去打扰她，给她一个私人空间，她不是这个圈子的人。
我们分手不是因为别的任何原因，都是我没有维护好这个家！是我的错！
求你们！我没有任何的野心！我也不想威胁到任何人，一档节目一部电影把我推到这个地步，也是我万万没有想到的。我从一开始演戏就想好好地演喜剧，带给所有人快乐，让所有人开心快乐！我真的就是个普通人！ ！
我只是离了婚，没有做伤天害理的事情，这么多的假消息铺天盖地，像一张网像一座山压着我。这三天，我承认是我人生最黑暗的，最恐怖的三天。我真的扛不住了！ ！对不起！求你们给我一点点的空间！一点点的隐私！
我尊重所有人，也求你们给我最后一点点的尊重！我父母也快崩溃了，因为这几天的压力身体严重衰弱，我真的快要崩溃了。如果大家不能接受，我可以做完我现在接的工作之后，不再演戏。我真的就是个普通人，只想简单的生活。求你们了。
给我一点隐私和空间吧！我的婚姻已经没有了，不要再毁掉我的父母……求你们不要再议论了。求你们。",https://zhidao.baidu.com/question/392216132491536925,,,,,
107,邱启明,中国大陆,男,中国大陆,文字,3/9/2015,3/12/2015,打人,,,,主持人,微博,,受傷司機，我的三位好兄弟：3.9日凌晨發生在上海新錦江大酒店的事情過去兩天了，我寢食難安。透過兩天的閉門思過，體認到，該事件的是非曲直對我本人來說已經不重要了，錯了，就要有代價。我牽掛的是你們！我深深感到痛心的是，無冤無仇，從未某過面的司機師傅，因與我的爭執而受輕傷躺在醫院。我深深感到追悔莫及的是，重情重義的三位好兄弟，因此而遭受牽連，失去自由。在此，我鄭重的對受傷司機師傅以及另外兩位司機師傅道歉，請原諒因我而起的非我主觀意願的這個結果。我鄭重的對受到牽連，失去自由的三位好兄弟表達我深深地歉意，難以言喻。該我承擔的，我必須承擔。期待並祝福司機師傅早日康復，我願意承擔所有的醫療費用和賠償，並將在您痊癒後登門道歉。期待並祝福我的三位好兄弟，早日平安歸來，親人無比思念！,受伤司机，我的三位好兄弟：3.9日凌晨发生在上海新锦江大酒店的事情过去两天了，我寝食难安。通过两天的闭门思过，认识到，该事件的是非曲直对我本人来说已经不重要了，错了，就要有代价。我牵挂的是你们！我深深地感到痛心的是，无冤无仇，从未某过面的司机师傅，因与我的争执而受轻伤躺在医院。我深深地感到追悔莫及的是，重情重义的三位好兄弟，因此而遭受牵连，失去自由。在此，我郑重的对受伤司机师傅以及另外两位司机师傅道歉，请原谅因我而起的非我主观意愿的这个结果。我郑重的对受到牵连，失去自由的三位好兄弟表达我深深地歉意，难以言表。该我承担的，我必须承担。期待并祝福司机师傅早日康复，我愿意承担所有的医疗费用和赔偿，并将在您痊愈后登门道歉。期待并祝福我的三位好兄弟，早日平安归来，亲人们无比思念！,https://www.thepaper.cn/newsDetail_forward_1310377,,,,,
108,孙楠,中国大陆,男,中国大陆,文字,3/27/2015,3/29/2015,退赛,,,,歌手,微博,,感謝@芒果洪濤 給了我這次參加#我是歌手#的機會，請原諒我的魯莽。感謝@汪涵 我的睿智老友，這次給你添了大麻煩，請原諒我的任性。感謝#我是歌手#的觀眾對我的關心，請原諒我的老不更事。感謝所有歌手夥伴的體諒與尊重，請原諒我的簡單直白，我真的愛你們！,感谢@芒果洪涛 给了我这次参加#我是歌手#的机会，请原谅我的鲁莽。感谢@汪涵 我的睿智老友，这一次给你添了大麻烦，请原谅我的任性。感谢#我是歌手#的观众对我的关心，请原谅我的老不更事。感谢所有歌手伙伴的理解和尊重，请原谅我的简单直白，我是真的爱你们！,https://news.sohu.com/20150330/n410500016.shtml,,,,,
109,王宝强,中国大陆,男,中国大陆,文字,12/13/2015,12/14/2015,动粗口,,,,演员,微博,,2015年12月1日18:20左右，我的弟弟霍志平從南和縣城路途南白線騎著電動車沿路邊回家，在蘭營路口被後方汽車撞飛，汽車撞飛後迅速逃離現場，弟妹經搶救無效永遠離開了我們。肇事者共三人，目前，其中一人已投案，另外兩人舉家逃逸，不知所蹤。 \ 我得知消息時非常震驚，難以想像親人就這樣突然離開我們。同時也對肇事者至今仍在逃逸感到憤怒，希望能早日繩之於法。 \ 昨天（12月13日）我發了一條微博，情緒非常失控，作為一個公眾人物不該如此，我在這跟大家道歉。希望大家也能理解我的悲傷和無助。 \ 還需要對我的觀眾、院線同仁和我的兄弟陳思誠說一聲對不起。此時此刻，我本來應該出現在電影《唐人街探案》的全國路演中。對購買了路演城市電影票的觀眾們說一聲對不起，無法如約與你們相見，我也很難過。處理完家事，我會盡快回到工作中，感謝大家的體諒與支持。 \ 命運無常，此時此刻的我只想陪伴家人。這起意外也提醒我要好好珍惜當下，與大家共勉。 \ 同時也呼籲所有司機朋友，能有起碼的社會責任感，你可以逃，但永遠逃不過你的良心！,2015年12月1日18:20左右，我的弟妹霍志平从南和县城路途南白线骑着电动车沿路边回家，在兰营路口被后方汽车撞飞，汽车撞飞后迅速逃离现场，弟妹经抢救无效永远地离开了我们。肇事者共三人，目前，其中一人已经投案，另外两人举家逃逸，不知所踪。 \ 我得知消息时非常震惊，难以想象亲人就这样突然离开我们。同时也对肇事者至今仍在逃逸感到愤怒，希望能早日绳之于法。 \ 昨天（12月13日）我发了一条微博，情绪非常失控，作为一个公众人物不该如此，我在这跟大家道歉。希望大家也能理解我的悲伤和无助。 \ 还需要对我的观众、院线同仁和我的兄弟陈思诚说一声对不起。此时此刻，我本应该出现在电影《唐人街探案》的全国路演中。对购买了路演城市电影票的观众们说一声对不起，无法如约与你们相见，我也很难过。处理完家事，我会尽快回到工作中，感谢大家的体谅与支持。 \ 命运无常，此时此刻的我只想陪伴家人。这起意外也提醒我要好好珍惜当下，与大家共勉。 \ 同时也呼吁所有司机朋友，能有起码的社会责任感，你可以逃，但永远逃不过你的良心！,https://tw.news.yahoo.com/%E8%A6%AA%E4%BA%BA%E8%A2%AB%E6%92%9E%E6%AD%BB%E9%A3%86%E9%AB%92%E8%A9%B1-%E7%8E%8B%E5%AF%B6%E5%BC%B7%E8%81%B2%E6%98%8E%E9%81%93%E6%AD%89-%E8%AB%8B%E7%90%86%E8%A7%A3%E6%88%91-075945097.htmll,,,,,
